"uid"	"city_name"	"offense_code"	"offense_type"	"offense_group"	"offense_against"	"date_single"	"longitude"	"latitude"	"location_type"	"location_category"	"census_block"	"date_start"	"date_end"
"33"	1191464	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-01-17 22:00:00	-97.77205	30.442867	"residence"	"residence"	"484910204104006"	NA	NA
"34"	1191663	"Austin"	"13A"	"aggravated assault"	"assault offenses"	"persons"	2018-01-18 20:00:00	-97.768116	30.444328	"residence"	"residence"	"484910204101008"	NA	NA
"35"	1191775	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-01-19 07:00:00	-97.720558	30.260679	"street"	"street"	"484530009022011"	NA	NA
"36"	1192339	"Austin"	"23C"	"shoplifting"	"larceny/theft offenses"	"property"	2018-01-21 22:19:00	-97.792507	30.467936	"other retail"	"retail"	"484910204081006"	NA	NA
"37"	1192464	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-01-22 17:00:00	-97.788415	30.185708	"vehicle parking"	"open space"	"484530024223003"	NA	NA
"38"	1192697	"Austin"	"13A"	"aggravated assault"	"assault offenses"	"persons"	2018-01-23 18:33:00	-97.700873	30.372128	"residence"	"residence"	"484530018221001"	NA	NA
"39"	1192750	"Austin"	"90C"	"disorderly conduct"	"disorderly conduct"	"society"	2018-01-23 22:24:00	-97.752538	30.195867	"residence"	"residence"	"484530024113003"	NA	NA
"40"	1192784	"Austin"	"90J"	"trespass of real property"	"trespass of real property"	"society"	2018-01-24 01:38:00	-97.676153	30.330586	"residence"	"residence"	"484530018341017"	NA	NA
"41"	1192798	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-01-24 03:45:00	-97.67569	30.41358	"other retail"	"retail"	"484530018483009"	NA	NA
"42"	1192960	"Austin"	"90Z"	"all other offenses"	"all other offenses"	"other"	2018-01-24 21:43:00	-97.737996	30.267049	"street"	"street"	"484530011001097"	NA	NA
