"","cmplnt_num","addr_pct_cd","boro_nm","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","crm_atpt_cptd_cd","hadevelopt","housing_psa","jurisdiction_code","juris_desc","ky_cd","law_cat_cd","loc_of_occur_desc","ofns_desc","parks_nm","patrol_boro","pd_cd","pd_desc","prem_typ_desc","rpt_dt","station_name","susp_age_group","susp_race","susp_sex","transit_district","vic_age_group","vic_race","vic_sex","x_coord_cd","y_coord_cd","latitude","longitude","lat_lon"
"817",694284565,83,"BROOKLYN","2019-02-16T00:00:00.000","04:10:00","2019-02-16T00:00:00.000","04:15:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",344,"MISDEMEANOR","FRONT OF","ASSAULT 3 & RELATED OFFENSES","","PATROL BORO BKLYN NORTH",101,"ASSAULT 3","RESIDENCE-HOUSE","2019-02-16T00:00:00.000","","18-24","BLACK","U",NA,"25-44","BLACK","M",1004124,193403,40.69750923,-73.928329474,"(40.69750923, -73.928329474)"
"818",446079817,14,"MANHATTAN","2019-02-09T00:00:00.000","15:50:00","2019-02-10T00:00:00.000","17:11:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY","","PATROL BORO MAN SOUTH",422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)","DEPARTMENT STORE","2019-03-03T00:00:00.000","","","","",NA,"937","BLACK","F",987220,212676,40.7504307680001,-73.989282176,"(40.750430768, -73.989282176)"
"819",242003233,75,"BROOKLYN","2019-03-15T00:00:00.000","16:40:00","2019-03-15T00:00:00.000","16:50:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",121,"FELONY","FRONT OF","CRIMINAL MISCHIEF & RELATED OF","","PATROL BORO BKLYN NORTH",269,"MISCHIEF,CRIMINAL,    UNCL 2ND","RESIDENCE-HOUSE","2019-03-15T00:00:00.000","","UNKNOWN","UNKNOWN","U",NA,"45-64","BLACK","F",1020608,189966,40.6880230990001,-73.86890154,"(40.688023099, -73.86890154)"
"820",892155876,79,"BROOKLYN","2019-01-21T00:00:00.000","18:00:00","2019-01-21T00:00:00.000","18:10:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",578,"VIOLATION","INSIDE","HARRASSMENT 2","","PATROL BORO BKLYN NORTH",638,"HARASSMENT,SUBD 3,4,5","RESIDENCE-HOUSE","2019-01-22T00:00:00.000","","45-64","UNKNOWN","M",NA,"25-44","WHITE HISPANIC","F",1000829,189451,40.6866686890001,-73.940222015,"(40.686668689, -73.940222015)"
"821",679528763,6,"MANHATTAN","2019-02-25T00:00:00.000","20:00:00","2019-02-25T00:00:00.000","21:42:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY","","PATROL BORO MAN SOUTH",405,"LARCENY,GRAND BY THEFT OF CREDIT CARD","","2019-02-26T00:00:00.000","","UNKNOWN","UNKNOWN","U",NA,"18-24","ASIAN / PACIFIC ISLANDER","M",985305,205004,40.729373465,-73.9961949629999,"(40.729373465, -73.996194963)"
"822",901013727,5,"MANHATTAN","2019-01-11T00:00:00.000","13:31:00","2019-01-11T00:00:00.000","13:41:00","COMPLETED","",NA,1,"N.Y. TRANSIT POLICE",578,"VIOLATION","","HARRASSMENT 2","","PATROL BORO MAN SOUTH",637,"HARASSMENT,SUBD 1,CIVILIAN","TRANSIT - NYC SUBWAY","2019-01-11T00:00:00.000","BROOKLYN BRIDGE-CITY HALL","25-44","BLACK","M",2,"25-44","BLACK","F",983125,199091,40.713143696,-74.004059506,"(40.713143696, -74.004059506)"
"823",297279935,5,"MANHATTAN","2018-10-30T00:00:00.000","17:00:00","","","COMPLETED","",NA,0,"N.Y. POLICE DEPT",125,"FELONY","INSIDE","NYS LAWS-UNCLASSIFIED FELONY","","PATROL BORO MAN SOUTH",847,"NY STATE LAWS,UNCLASSIFIED FEL","PUBLIC BUILDING","2019-03-05T00:00:00.000","","45-64","BLACK","M",NA,"UNKNOWN","UNKNOWN","E",983903,200257,40.716344152,-74.001253193,"(40.716344152, -74.001253193)"
"824",652516203,105,"QUEENS","2019-01-05T00:00:00.000","23:25:00","2019-01-05T00:00:00.000","23:35:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",578,"VIOLATION","INSIDE","HARRASSMENT 2","","PATROL BORO QUEENS SOUTH",637,"HARASSMENT,SUBD 1,CIVILIAN","RESIDENCE-HOUSE","2019-01-06T00:00:00.000","","18-24","BLACK","M",NA,"25-44","BLACK","F",1053122,183027,40.668783906,-73.7517337469999,"(40.668783906, -73.751733747)"
"825",498053520,88,"BROOKLYN","2019-01-11T00:00:00.000","12:00:00","2019-02-02T00:00:00.000","14:00:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","FRONT OF","PETIT LARCENY","","PATROL BORO BKLYN NORTH",339,"LARCENY,PETIT FROM OPEN AREAS,","STREET","2019-02-05T00:00:00.000","","","","",NA,"65+","BLACK","F",992063,188244,40.683367827,-73.971831257,"(40.683367827, -73.971831257)"
"826",234779093,1,"MANHATTAN","2019-03-04T00:00:00.000","17:07:00","2019-03-04T00:00:00.000","19:17:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",344,"MISDEMEANOR","FRONT OF","ASSAULT 3 & RELATED OFFENSES","","PATROL BORO MAN SOUTH",113,"MENACING,UNCLASSIFIED","STREET","2019-03-04T00:00:00.000","","","","",NA,"UNKNOWN","UNKNOWN","M",984435,202469,40.722415566,-73.999334029,"(40.722415566, -73.999334029)"
"827",713466599,44,"BRONX","2018-09-01T00:00:00.000","09:00:00","","","COMPLETED","",NA,0,"N.Y. POLICE DEPT",112,"FELONY","INSIDE","THEFT-FRAUD","","PATROL BORO BRONX",739,"FRAUD,UNCLASSIFIED-FELONY","RESIDENCE - APT. HOUSE","2019-02-07T00:00:00.000","","","","",NA,"45-64","WHITE HISPANIC","F",1004733,245676,40.840983572,-73.9259739249999,"(40.840983572, -73.925973925)"
"828",131957072,10,"MANHATTAN","2019-01-10T00:00:00.000","19:00:00","2019-01-10T00:00:00.000","19:30:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",109,"FELONY","FRONT OF","GRAND LARCENY","","PATROL BORO MAN SOUTH",405,"LARCENY,GRAND BY THEFT OF CREDIT CARD","COMMERCIAL BUILDING","2019-01-10T00:00:00.000","","","","",NA,"25-44","WHITE","M",982499,211691,40.7477275150001,-74.0063208719999,"(40.747727515, -74.006320872)"
"829",376906134,71,"BROOKLYN","2019-02-06T00:00:00.000","06:00:00","2019-02-06T00:00:00.000","06:15:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",578,"VIOLATION","INSIDE","HARRASSMENT 2","","PATROL BORO BKLYN SOUTH",638,"HARASSMENT,SUBD 3,4,5","RESIDENCE - APT. HOUSE","2019-02-06T00:00:00.000","","25-44","BLACK","F",NA,"45-64","BLACK","F",998366,183303,40.66979809,-73.9491158069999,"(40.66979809, -73.949115807)"
"830",995317479,105,"QUEENS","2018-01-24T00:00:00.000","07:32:00","","","COMPLETED","",NA,0,"N.Y. POLICE DEPT",359,"MISDEMEANOR","FRONT OF","OFFENSES AGAINST PUBLIC ADMINI","","PATROL BORO QUEENS SOUTH",749,"VIOLATION OF ORDER OF PROTECTI","STREET","2019-01-24T00:00:00.000","","25-44","BLACK","M",NA,"25-44","BLACK","F",1056730,178475,40.656260923,-73.738776745,"(40.656260923, -73.738776745)"
