"","uid","city_name","offense_code","offense_type","offense_group","offense_against","date_single","longitude","latitude","location_type","location_category","census_block","date_start","date_end"
"33",16214504,"New York","26C","impersonation","fraud offenses (except counterfeiting/forgery and bad checks)","property",2018-01-04 03:00:00,-73.94684,40.784602,"residence","residence","360610156021002",2017-12-23 05:00:00,2018-01-16 01:00:00
"34",16214569,"New York","90Z","all other offenses","all other offenses","other",2018-01-04 05:05:00,-73.948223,40.682001,"residence","residence","360470249003000",2018-01-04 04:30:00,2018-01-04 05:41:00
"35",16214639,"New York","23D","theft from building","larceny/theft offenses","property",2018-01-04 09:15:00,-73.907906,40.68483,"residence","residence","360470403003002",2018-01-04 04:00:00,2018-01-04 14:30:00
"36",16214690,"New York","13A","aggravated assault","assault offenses","persons",2018-01-04 10:45:00,-73.95789,40.761183,"street","street","360610106021000",2018-01-04 10:40:00,2018-01-04 10:50:00
"37",16214739,"New York","23C","shoplifting","larceny/theft offenses","property",2018-01-04 12:02:00,-73.961753,40.709737,"other retail","retail","360470525001006",2018-01-04 12:00:00,2018-01-04 12:05:00
"38",16214748,"New York","23D","theft from building","larceny/theft offenses","property",2018-01-04 12:30:00,-73.956676,40.773136,"residence","residence","360610134004000",2018-01-01 15:00:00,2018-01-07 10:00:00
"39",16214840,"New York","90Z","all other offenses","all other offenses","other",2018-01-04 14:47:00,-73.922172,40.816468,"residence","residence","360050065001001",2018-01-04 14:45:00,2018-01-04 14:50:00
"40",16214897,"New York","13B","simple assault","assault offenses","persons",2018-01-04 16:22:00,-73.900092,40.832266,"residence","residence","360050149002001",2018-01-04 15:00:00,2018-01-04 17:45:00
"41",16214907,"New York","90Z","all other offenses","all other offenses","other",2018-01-04 16:30:00,-73.954741,40.810384,"residence","residence","360610209012001",2017-12-30 16:00:00,2018-01-09 17:00:00
"42",16214931,"New York","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2018-01-04 17:00:00,-74.009473,40.710421,"street","street","360610013001008",2018-01-03 17:00:00,2018-01-05 17:00:00
"43",16214962,"New York","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2018-01-04 17:30:00,-73.839619,40.867692,"street","street","360050356002004",2018-01-03 20:00:00,2018-01-05 15:00:00
"44",16215005,"New York","90Z","all other offenses","all other offenses","other",2018-01-04 18:15:00,-73.922376,40.852141,"residence","residence","360050053002001",2018-01-04 18:00:00,2018-01-04 18:30:00
"45",16215013,"New York","35A","drug/narcotic violations","drug/narcotic offenses","society",2018-01-04 18:20:00,-73.928182,40.787875,"other","other","360610240001002",2018-01-04 18:15:00,2018-01-04 18:25:00
"46",16215086,"New York","100","kidnapping/abduction","kidnapping/abduction","persons",2018-01-04 20:05:00,-73.868058,40.731409,"residence","residence","360810687001000",2018-01-04 19:30:00,2018-01-04 20:40:00
"47",16215130,"New York","90Z","all other offenses","all other offenses","other",2018-01-04 21:30:00,-74.153908,40.54902,"residence","residence","360850146042014",2018-01-04 21:30:00,NA
"48",16215139,"New York","90Z","all other offenses","all other offenses","other",2018-01-04 21:45:00,-73.906205,40.830265,"residence","residence","360050145004000",2018-01-04 21:14:00,2018-01-04 22:16:00
"49",16215158,"New York","90Z","all other offenses","all other offenses","other",2018-01-04 22:30:00,-73.851901,40.828855,"residence","residence","360050078001005",2018-01-04 22:30:00,NA
"50",16215261,"New York","240","motor vehicle theft","motor vehicle theft","property",2018-01-05 02:15:00,-73.954723,40.655986,"street","street","360470802002003",2018-01-04 16:30:00,2018-01-05 12:00:00
"51",16215521,"New York","90Z","all other offenses","all other offenses","other",2018-01-05 12:00:00,-73.798565,40.596542,"residence","residence","360810954001011",2018-01-05 11:00:00,2018-01-05 13:00:00
"52",16215550,"New York","13A","aggravated assault","assault offenses","persons",2018-01-05 12:27:00,-73.866076,40.877599,"street","street","360050380004004",2018-01-05 12:27:00,NA
"53",16215581,"New York","240","motor vehicle theft","motor vehicle theft","property",2018-01-05 13:00:00,-73.750173,40.696676,"office","commercial","360810530001000",2018-01-05 13:00:00,NA
"54",16215816,"New York","90Z","all other offenses","all other offenses","other",2018-01-05 17:00:00,-73.94408,40.691471,"residence","residence","360470261002001",2018-01-05 17:00:00,NA
"55",16215821,"New York","13B","simple assault","assault offenses","persons",2018-01-05 17:05:00,-73.912949,40.823933,"residence","residence","360050141001005",2018-01-05 17:05:00,NA
"56",16215928,"New York","35A","drug/narcotic violations","drug/narcotic offenses","society",2018-01-05 19:00:00,-73.788576,40.68428,"street","street","360810274001004",2018-01-05 18:30:00,2018-01-05 19:30:00
"57",16216062,"New York","13B","simple assault","assault offenses","persons",2018-01-05 21:08:00,-73.931122,40.668806,"rapid transit","transportation","360470351002000",2018-01-05 21:00:00,2018-01-05 21:17:00
