"","cmplnt_num","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","addr_pct_cd","rpt_dt","ky_cd","ofns_desc","pd_cd","pd_desc","crm_atpt_cptd_cd","law_cat_cd","boro_nm","loc_of_occur_desc","prem_typ_desc","juris_desc","jurisdiction_code","parks_nm","hadevelopt","housing_psa","x_coord_cd","y_coord_cd","susp_age_group","susp_race","susp_sex","transit_district","latitude","longitude","lat_lon","patrol_boro","station_name","vic_age_group","vic_race","vic_sex"
"235",264273028,"2018-12-31T00:00:00.000","22:15:00","2018-12-31T00:00:00.000","22:20:00",73,"2018-12-31T00:00:00.000",109,"GRAND LARCENY",415,"LARCENY,GRAND FROM PERSON,PICK","COMPLETED","FELONY","BROOKLYN","FRONT OF","STREET","N.Y. POLICE DEPT",0,"","","",1007798,179178,"UNKNOWN","UNKNOWN","U",NA,40.65845582,-73.915129569,"(40.65845582, -73.915129569)","PATROL BORO BKLYN NORTH","","25-44","ASIAN / PACIFIC ISLANDER","M"
"236",845769939,"2018-12-31T00:00:00.000","17:00:00","2018-12-31T00:00:00.000","17:30:00",60,"2018-12-31T00:00:00.000",344,"ASSAULT 3 & RELATED OFFENSES",101,"ASSAULT 3","COMPLETED","MISDEMEANOR","BROOKLYN","INSIDE","RESIDENCE-HOUSE","N.Y. POLICE DEPT",0,"","","",985897,148507,"18-24","BLACK","M",NA,40.574301425,-73.994072789,"(40.574301425, -73.994072789)","PATROL BORO BKLYN SOUTH","","18-24","BLACK HISPANIC","F"
"237",617502103,"2018-12-31T00:00:00.000","16:18:00","","",52,"2018-12-31T00:00:00.000",351,"CRIMINAL MISCHIEF & RELATED OF",259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4","COMPLETED","MISDEMEANOR","BRONX","INSIDE","DEPARTMENT STORE","N.Y. POLICE DEPT",0,"","","",1009690,257590,"","","",NA,40.873671035,-73.9080136489999,"(40.873671035, -73.908013649)","PATROL BORO BRONX","","UNKNOWN","UNKNOWN","D"
"238",337672143,"2018-12-31T00:00:00.000","19:15:00","2018-12-31T00:00:00.000","19:30:00",24,"2018-12-31T00:00:00.000",348,"VEHICLE AND TRAFFIC LAWS",916,"LEAVING SCENE-ACCIDENT-PERSONA","COMPLETED","MISDEMEANOR","MANHATTAN","","STREET","N.Y. POLICE DEPT",0,"","","",992062,228791,"45-64","WHITE","F",NA,40.7946592850001,-73.971787782,"(40.794659285, -73.971787782)","PATROL BORO MAN NORTH","","25-44","WHITE HISPANIC","F"
"239",683644266,"2018-12-31T00:00:00.000","12:00:00","2018-12-31T00:00:00.000","12:15:00",71,"2018-12-31T00:00:00.000",107,"BURGLARY",221,"BURGLARY,RESIDENCE,DAY","COMPLETED","FELONY","BROOKLYN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT",0,"","","",998273,182000,"18-24","BLACK","M",NA,40.666221793,-73.949453765,"(40.666221793, -73.949453765)","PATROL BORO BKLYN SOUTH","","18-24","BLACK","F"
"240",124044847,"2018-12-31T00:00:00.000","01:25:00","","",122,"2018-12-31T00:00:00.000",347,"INTOXICATED & IMPAIRED DRIVING",905,"INTOXICATED DRIVING,ALCOHOL","COMPLETED","MISDEMEANOR","STATEN ISLAND","","STREET","N.Y. POLICE DEPT",0,"","","",942462,140163,"25-44","WHITE","F",NA,40.5513004520001,-74.150372564,"(40.551300452, -74.150372564)","PATROL BORO STATEN ISLAND","","UNKNOWN","UNKNOWN","E"
"241",137490103,"2018-12-31T00:00:00.000","17:00:00","2018-12-31T00:00:00.000","17:15:00",60,"2018-12-31T00:00:00.000",106,"FELONY ASSAULT",105,"STRANGULATION 1ST","COMPLETED","FELONY","BROOKLYN","INSIDE","RESIDENCE - PUBLIC HOUSING","N.Y. HOUSING POLICE",2,"","","235",987061,148773,"25-44","BLACK","M",NA,40.575031251,-73.989882667,"(40.575031251, -73.989882667)","PATROL BORO BKLYN SOUTH","","25-44","BLACK","F"
"242",902154999,"2018-12-31T00:00:00.000","17:25:00","2018-12-31T00:00:00.000","17:35:00",32,"2018-12-31T00:00:00.000",106,"FELONY ASSAULT",109,"ASSAULT 2,1,UNCLASSIFIED","COMPLETED","FELONY","MANHATTAN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT",0,"","","",1000311,237118,"25-44","BLACK","M",NA,40.8175034610001,-73.941975939,"(40.817503461, -73.941975939)","PATROL BORO MAN NORTH","","25-44","WHITE HISPANIC","F"
"243",447893395,"2018-12-31T00:00:00.000","20:05:00","2018-12-31T00:00:00.000","20:15:00",75,"2018-12-31T00:00:00.000",126,"MISCELLANEOUS PENAL LAW",198,"CRIMINAL CONTEMPT 1","COMPLETED","FELONY","BROOKLYN","FRONT OF","RESIDENCE-HOUSE","N.Y. POLICE DEPT",0,"","","",1019171,189808,"25-44","WHITE HISPANIC","M",NA,40.6875952120001,-73.874083895,"(40.687595212, -73.874083895)","PATROL BORO BKLYN NORTH","","18-24","WHITE HISPANIC","M"
"244",165878162,"2018-12-31T00:00:00.000","22:30:00","2018-12-31T00:00:00.000","22:33:00",105,"2018-12-31T00:00:00.000",348,"VEHICLE AND TRAFFIC LAWS",916,"LEAVING SCENE-ACCIDENT-PERSONA","COMPLETED","MISDEMEANOR","QUEENS","","STREET","N.Y. POLICE DEPT",0,"","","",1057365,182218,"","","",NA,40.6665293680001,-73.736447572,"(40.666529368, -73.736447572)","PATROL BORO QUEENS SOUTH","","18-24","BLACK","M"
"245",784145603,"2018-12-31T00:00:00.000","20:15:00","2018-12-31T00:00:00.000","20:30:00",104,"2018-12-31T00:00:00.000",578,"HARRASSMENT 2",637,"HARASSMENT,SUBD 1,CIVILIAN","COMPLETED","VIOLATION","QUEENS","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT",0,"","","",1011865,196378,"UNKNOWN","WHITE","M",NA,40.705654135,-73.900400786,"(40.705654135, -73.900400786)","PATROL BORO QUEENS NORTH","","25-44","WHITE","M"
"246",241804237,"2018-12-31T00:00:00.000","14:00:00","2018-12-31T00:00:00.000","14:30:00",84,"2018-12-31T00:00:00.000",351,"CRIMINAL MISCHIEF & RELATED OF",259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4","COMPLETED","MISDEMEANOR","BROOKLYN","INSIDE","COMMERCIAL BUILDING","N.Y. POLICE DEPT",0,"","","",989331,189098,"25-44","BLACK","M",NA,40.685713852,-73.981680984,"(40.685713852, -73.981680984)","PATROL BORO BKLYN NORTH","","UNKNOWN","UNKNOWN","D"
"247",909370645,"2018-12-31T00:00:00.000","17:30:00","","",47,"2018-12-31T00:00:00.000",344,"ASSAULT 3 & RELATED OFFENSES",113,"MENACING,UNCLASSIFIED","COMPLETED","MISDEMEANOR","BRONX","FRONT OF","RESIDENCE-HOUSE","N.Y. POLICE DEPT",0,"","","",1024807,261935,"UNKNOWN","WHITE HISPANIC","U",NA,40.885540183,-73.853326275,"(40.885540183, -73.853326275)","PATROL BORO BRONX","","25-44","WHITE HISPANIC","M"
"248",195841470,"2018-12-31T00:00:00.000","17:00:00","2018-12-31T00:00:00.000","17:15:00",62,"2018-12-31T00:00:00.000",348,"VEHICLE AND TRAFFIC LAWS",916,"LEAVING SCENE-ACCIDENT-PERSONA","COMPLETED","MISDEMEANOR","BROOKLYN","","STREET","N.Y. POLICE DEPT",0,"","","",988342,156687,"","","",NA,40.596753112,-73.985266654,"(40.596753112, -73.985266654)","PATROL BORO BKLYN SOUTH","","25-44","ASIAN / PACIFIC ISLANDER","F"
