"","incident_key","occur_date","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude"
"34",198858229,"2019-06-23T00:00:00.000","02:15:00","BRONX",46,0,"","false","<18","M","BLACK HISPANIC","18-24","M","WHITE HISPANIC",1011477,250772,40.8549523670001,-73.9015797869999
"35",198858227,"2019-06-23T00:00:00.000","00:30:00","MANHATTAN",30,0,"","false","","","","25-44","M","WHITE HISPANIC",997736,240029,40.82549764,-73.951273101
"36",198857666,"2019-06-22T00:00:00.000","22:30:00","BRONX",44,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","F","BLACK",1006852,239269,40.823393034,-73.918337246
"37",198857666,"2019-06-22T00:00:00.000","22:30:00","BRONX",44,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","M","BLACK",1006852,239269,40.823393034,-73.918337246
"38",198858228,"2019-06-22T00:00:00.000","02:36:00","BROOKLYN",94,2,"MULTI DWELL - PUBLIC HOUS","true","","","","25-44","M","BLACK HISPANIC",1001064,200639,40.7173766820001,-73.9393467359999
"39",198857665,"2019-06-21T00:00:00.000","23:30:00","BRONX",40,2,"MULTI DWELL - PUBLIC HOUS","false","","","","18-24","M","BLACK",1005530,233943,40.808777943,-73.923130702
"40",198760075,"2019-06-20T00:00:00.000","19:09:00","BROOKLYN",75,0,"GAS STATION","false","<18","M","UNKNOWN","25-44","M","WHITE HISPANIC",1019847,184424,40.6728146730001,-73.871674829
"41",198760073,"2019-06-20T00:00:00.000","19:02:00","BROOKLYN",77,0,"","false","25-44","M","BLACK HISPANIC","25-44","M","BLACK",1002625,183496,40.670320017,-73.933762358
"42",198760073,"2019-06-20T00:00:00.000","19:02:00","BROOKLYN",77,0,"","false","25-44","M","BLACK HISPANIC","<18","M","BLACK",1002625,183496,40.670320017,-73.933762358
"43",198760074,"2019-06-20T00:00:00.000","17:43:00","BROOKLYN",63,0,"","false","18-24","M","BLACK","25-44","M","BLACK",1001311,166450,40.6235350650001,-73.938542237
"44",198705941,"2019-06-19T00:00:00.000","18:01:00","BROOKLYN",73,0,"","false","","","","45-64","M","BLACK",1006976,184974,40.6743666950001,-73.9180726879999
